MMSI,TrackNumber,SimpleVesselType,ComplexVesselType,StartTime,ContestVesselType
201100153,126474,Purse Seiner,Purse Seiner,1438410609,Seiner
204201560,113716,Pole and Line,Pole and Line,1435709562,Other
204206740,109422,Pole and Line,Pole and Line,1435709334,Other
204208790,126757,Pole and Line,Pole and Line,1435713261,Other
204209570,122180,Pole and Line,Pole and Line,1435781723,Other
204209840,103182,Pole and Line,Pole and Line,1435709058,Other
204209960,124696,Pole and Line,Pole and Line,1435709359,Other
204211000,114621,Longliner,Longliner,1436518426,Longliner
204212000,107622,Longliner,Tuna longliner,1435709274,Longliner
204225000,102341,Longliner,Longliner,1435727267,Longliner
204226000,130534,Longliner,Longliner,1441709019,Longliner
204228000,125683,Longliner,Tuna longliner,1435709140,Longliner
204232000,127690,Longliner,Longliner,1437471170,Longliner
204233000,104663,Longliner,Longliner,1436640332,Longliner
204235000,112714,Longliner,Longliner,1435734099,Longliner
204264000,118508,Pole and Line,Pole and Line,1435709639,Other
204287000,102177,Pole and Line,Pole and Line,1435709272,Other
204807000,104308,Pole and Line,Pole and Line,1436094919,Other
204810000,120097,Pole and Line,Pole and Line,1435709017,Other
204811000,126319,Longliner,Longliner,1435710300,Longliner
204812000,101910,Pole and Line,Pole and Line,1435708989,Other
204813000,106324,Longliner,Longliner,1435708824,Longliner
204814000,130837,Longliner,Longliner,1435718822,Longliner
204815000,106377,Longliner,Longliner,1435753076,Longliner
204826000,111674,Pole and Line,Pole and Line,1435759529,Other
204829000,116525,Pole and Line,Pole and Line,1435713175,Other
204834000,125685,Pole and Line,Pole and Line,1435713140,Other
204835000,102340,Pole and Line,Pole and Line,1435709110,Other
204838000,102485,Pole and Line,Pole and Line,1435756484,Other
204851000,108706,Pole and Line,Pole and Line,1435877745,Other
204856000,103600,Longliner,Longliner,1435732933,Longliner
204858000,127202,Pole and Line,Pole and Line,1436147050,Other
205165000,128531,Trawler,Bottom Otter Trawler,1435709426,Trawler
205191000,125438,Trawler,Beam Trawler,1435708891,Trawler
205192000,116055,Trawler,Beam Trawler,1435709112,Trawler
205243000,124904,Trawler,Beam Trawler,1435708884,Trawler
205261000,113392,Trawler,Beam Trawler,1435709629,Trawler
207428000,104087,Trawler,Midwater Pair Trawler,1438053782,Trawler
207824680,111303,Trawler,Midwater Pair Trawler,1436234843,Trawler
209212000,120521,Trawler,Bottom Otter Trawler,1435785188,Trawler
209465000,125176,Longliner,Longliner,1435709148,Longliner
209499000,117853,Trawler,Bottom Otter Trawler,1435935852,Trawler
210380000,130828,Trawler,Bottom Otter Trawler,1435708839,Trawler
210460000,124192,Longliner,Longliner,1435716703,Longliner
210975000,121295,Longliner,Longliner,1435726919,Longliner
211104000,103202,Trawler,Beam Trawler,1435708985,Trawler
211131000,117067,Trawler,Beam Trawler,1435730011,Trawler
211155000,112905,Trawler,Beam Trawler,1435708988,Trawler
211156000,126654,Trawler,Beam Trawler,1436953248,Trawler
211157000,127759,Trawler,Beam Trawler,1435709782,Trawler
211158000,108092,Trawler,Beam Trawler,1439320725,Trawler
211159000,113113,Trawler,Beam Trawler,1435893227,Trawler
211160000,126686,Trawler,Beam Trawler,1435827057,Trawler
211163000,127804,Trawler,Beam Trawler,1436638868,Trawler
211164000,105007,Trawler,Beam Trawler,1435708922,Trawler
211170000,103836,Trawler,Beam Trawler,1436112284,Trawler
211180000,110052,Trawler,Beam Trawler,1435710137,Trawler
211182000,129817,Trawler,Beam Trawler,1436878322,Trawler
211187000,110398,Trawler,Beam Trawler,1435709847,Trawler
211191000,117207,Trawler,Beam Trawler,1435776706,Trawler
211192000,116195,Trawler,Beam Trawler,1439471353,Trawler
211193000,132681,Trawler,Beam Trawler,1436959113,Trawler
211196000,111663,Trawler,Beam Trawler,1435894010,Trawler
211207270,105795,Trawler,Bottom Otter Trawler,1435709024,Trawler
211214200,100394,Trawler,Bottom Otter Trawler,1435709347,Trawler
211227510,124150,Trawler,Bottom Otter Trawler,1435709324,Trawler
211232850,112709,Trawler,Bottom Otter Trawler,1435713811,Trawler
211238930,104064,Trawler,Midwater Pair Trawler,1435708995,Trawler
