TrackNumber,Time(seconds),Latitude,Longitude,SOG,oceanic depth,Chlorophyll Concentration,Salinity,Water Surface Elevation,Sea Temperature,Thermocline Depth,Eastward Water Velocity,Northward Water Velocity
127009,0,43.85224,13.01955,0.,-4,2.6591,38.,-0.61,26.6,10.8,-0.01,0.06
127009,928,43.85223,13.019558,0.,-4,2.6591,38.,-0.61,26.6,10.8,-0.01,0.06
127009,1888,43.852223,13.01956,0.,-4,2.6591,38.,-0.61,26.6,10.8,-0.01,0.06
127009,2800,43.85223,13.019583,0.8,-4,2.6591,38.,-0.61,26.6,10.8,-0.01,0.06
127009,3757,43.8522,13.019642,0.,-4,2.6591,38.,-0.61,26.6,10.8,-0.01,0.06
127009,4681,43.852173,13.019637,0.,-4,2.6591,38.,-0.61,26.6,10.8,-0.01,0.06
127009,5679,43.85219,13.019642,0.,-4,2.6591,38.,-0.61,26.6,10.8,-0.01,0.06
127009,6600,43.855543,13.038033,9.1,-3,2.6591,38.,-0.61,26.6,10.8,-0.01,0.06
127009,7501,43.848277,13.08832,8.8,-7,1.931,38.,-0.62,26.3,13.9,-0.01,0.06
127009,8449,43.841067,13.140333,8.2,-4,1.6196000000000002,38.,-0.62,26.3,11.4,-0.01,0.07
127009,10309,43.828173,13.239342,7.9,-3,2.1089,38.,-0.61,26.200000000000003,11.,-0.01,0.11
127009,11231,43.822137,13.28848,8.8,-5,1.7834,38.,-0.61,26.,11.100000000000001,0.,0.1
127009,12188,43.811043,13.336127,7.4,-9,0.5487000000000001,38.,-0.61,26.1,12.600000000000001,0.01,0.09
127009,13109,43.81364,13.327272,7.8,-3,1.2276,38.,-0.61,26.1,12.200000000000001,0.01,0.09
127009,14029,43.83121,13.285195,8.4,-4,1.8264,38.,-0.61,26.,10.9,0.,0.11
127009,14960,43.8494,13.240973,8.4,-6,1.3646,38.,-0.61,26.200000000000003,11.,-0.01,0.11
127009,15868,43.867117,13.197677,8.4,-7,1.9368,38.,-0.61,26.400000000000002,10.8,-0.01,0.11
127009,16788,43.872657,13.148838,8.7,-3,1.9471,38.,-0.61,26.3,12.9,-0.01,0.09
127009,17739,43.869597,13.097402,8.6,-6,2.2082,38.,-0.62,26.3,14.5,-0.01,0.08
127009,18687,43.863053,13.04663,8.1,-2,2.5528,38.,-0.62,26.5,11.200000000000001,-0.01,0.06
127009,80813,43.852207,13.019617,0.,-4,2.6591,38.,-0.62,26.700000000000003,10.700000000000001,-0.01,0.05
127009,81731,43.853053,13.040548,9.4,-3,2.6591,38.,-0.62,26.6,10.700000000000001,-0.01,0.05
127009,82680,43.842677,13.091772,8.4,-7,1.8852,38.,-0.62,26.400000000000002,14.100000000000001,-0.01,0.05
127009,83600,43.827127,13.137632,8.9,6,2.1603,38.,-0.62,26.400000000000002,11.200000000000001,-0.01,0.06
127009,84530,43.808807,13.183047,8.7,-4,2.2034000000000002,38.,-0.62,26.5,11.100000000000001,-0.01,0.07
127009,85444,43.791197,13.227913,8.1,-3,1.9523000000000001,38.,-0.62,26.400000000000002,11.,-0.01,0.07
127009,86349,43.772187,13.27138,8.2,-6,1.7878,38.,-0.62,26.3,11.4,-0.01,0.07
127009,87261,43.75446,13.316098,9.1,-5,1.4248,38.,-0.62,26.400000000000002,14.100000000000001,-0.01,0.08
127009,88230,43.73492,13.363383,9.1,-4,1.6922000000000001,38.,-0.62,26.5,16.8,-0.01,0.08
127009,89140,43.71587,13.407678,8.6,-2,1.3591,38.,-0.62,26.5,13.200000000000001,-0.01,0.06
127009,90069,43.69498,13.452772,8.3,-6,2.0853,38.,-0.62,26.6,11.9,-0.02,0.04
127009,90992,43.673927,13.498025,9.,-4,1.5177,38.,-0.62,26.400000000000002,13.8,-0.04,0.02
127009,91954,43.65249,13.548452,9.8,-2,0.9641000000000001,38.,-0.62,26.200000000000003,14.600000000000001,-0.03,0.03
127009,92869,43.625147,13.592185,10.,-7,0.7228,38.,-0.62,26.200000000000003,12.600000000000001,-0.01,0.05
127009,93800,43.596933,13.62881,9.3,-6,1.0105,38.,-0.63,26.3,13.4,-0.01,0.06
127009,94749,43.568393,13.665543,8.8,0,2.3653,38.,-0.62,26.1,16.5,0.,0.07
127009,95689,43.539187,13.701343,8.1,-5,1.9212,38.,-0.62,26.1,15.600000000000001,0.01,0.06
127009,96649,43.509937,13.737443,7.8,-5,1.3571,38.,-0.63,26.6,13.700000000000001,0.03,0.08
127009,97570,43.481813,13.771375,8.7,-5,1.2059,38.1,-0.63,26.8,13.700000000000001,0.03,0.09
127009,98569,43.451637,13.806788,8.3,-5,1.0726,38.1,-0.63,26.900000000000002,12.600000000000001,0.04,0.09
127009,99549,43.42274,13.841327,8.8,-12,0.6351,38.1,-0.63,27.,11.5,0.05,0.1
127009,100510,43.394607,13.87485,8.7,-6,0.8736,38.1,-0.63,26.8,10.700000000000001,0.06,0.08
127009,101469,43.366683,13.908313,8.3,-7,0.7464000000000001,38.,-0.63,26.6,10.100000000000001,0.06,0.08
127009,102388,43.340203,13.940858,8.7,-12,0.5372,38.,-0.62,26.5,10.200000000000001,0.06,0.06
