TrackNumber,Time(seconds),Latitude,Longitude,SOG,oceanic depth,Chlorophyll Concentration,Salinity,Water Surface Elevation,Sea Temperature,Thermocline Depth,Eastward Water Velocity,Northward Water Velocity
103480,0,36.57181,-1.93181,0.5,-293,0.1277,35.,-0.09,15.100000000000001,91.5,0.08,0.
103480,973,36.567385,-1.937018,1.5,-291,0.127,35.,-0.09,15.100000000000001,90.80000000000001,0.08,0.
103480,2193,36.561005,-1.944382,1.2,-289,0.1262,35.,-0.09,15.100000000000001,90.,0.09,0.01
103480,1701752,36.420922,-2.189503,1.9,-234,0.09280000000000001,34.9,-0.14,14.100000000000001,340.70000000000005,0.26,0.18
103480,1702717,36.425735,-2.185168,8.5,-236,0.0945,34.9,-0.14,14.100000000000001,339.20000000000005,0.26,0.18
103480,2652982,36.25102,-2.116343,6.9,-392,0.09960000000000001,35.,-0.06,14.3,93.5,-0.07,-0.1
103480,2658929,36.239555,-2.024878,0.4,-422,0.1038,35.,-0.05,14.100000000000001,99.10000000000001,-0.1,-0.13
103480,2659943,36.238887,-2.023042,0.9,-422,0.1039,35.,-0.05,14.100000000000001,99.7,-0.1,-0.13
103480,2661020,36.237967,-2.02044,0.4,-423,0.1039,35.,-0.05,14.100000000000001,100.4,-0.1,-0.13
103480,6000404,36.793135,-1.641342,3.2,-331,0.0959,35.,0.,14.100000000000001,414.40000000000003,-0.03,0.02
