TrackNumber,Time(seconds),Latitude,Longitude,SOG,oceanic depth,Chlorophyll Concentration,Salinity,Water Surface Elevation,Sea Temperature,Thermocline Depth,Eastward Water Velocity,Northward Water Velocity
116840,0,42.798545,-8.941917,0.1,53,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,998,42.798355,-8.94202,0.1,53,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,1974,42.798422,-8.942042,0.,53,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,2978,42.798435,-8.942062,0.,53,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,3937,42.798473,-8.94202,0.,53,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,4937,42.798447,-8.942018,0.,53,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,5945,42.798393,-8.941922,0.,53,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,6917,42.798358,-8.941917,0.,53,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,7896,42.798292,-8.941908,0.,53,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,8817,42.79821,-8.942025,0.,53,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,9796,42.79824,-8.942117,0.,53,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,10757,42.798185,-8.942097,0.1,53,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,11715,42.7982,-8.942158,0.1,53,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,12676,42.798323,-8.942127,0.2,53,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,13525,42.794183,-8.941972,4.1,54,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,13577,42.793273,-8.942482,4.3,55,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,14497,42.774185,-8.953165,6.2,62,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,15471,42.762953,-8.977565,9.1,75,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,16416,42.739285,-9.052332,10.6,-1,16.686700000000002,35.7,-0.52,16.7,10.4,0.03,-0.01
116840,17448,42.767858,-9.038627,10.8,33,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,17459,42.770802,-9.031123,10.1,33,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,18351,42.741417,-9.066358,10.5,-1,11.1965,35.7,-0.52,16.7,10.4,0.03,-0.01
116840,19428,42.750043,-9.055717,11.1,34,3.5319000000000003,35.7,-0.52,16.7,10.4,0.03,-0.01
116840,20689,42.746797,-9.051677,11.1,-5,16.3165,35.7,-0.52,16.7,10.4,0.03,-0.01
116840,21590,42.771707,-9.028533,5.1,33,-99999,-99999.,-99999.,-99999.,-99999.,-99999.,-99999.
116840,22667,42.77036,-9.042587,10.3,31,3.5319000000000003,35.7,-0.52,16.7,10.4,0.03,-0.01
116840,23748,42.776958,-9.054348,0.,27,3.5319000000000003,35.7,-0.52,16.7,10.3,0.03,-0.01
116840,164700,42.776907,-9.054335,0.,27,3.5319000000000003,35.7,-0.52,16.6,10.,0.02,-0.01
116840,165929,42.776927,-9.05436,0.,27,3.5319000000000003,35.7,-0.52,16.6,10.,0.02,-0.01
116840,166858,42.776892,-9.054347,0.,27,3.5319000000000003,35.7,-0.52,16.6,10.,0.02,-0.01
